question;option1;option2;option3;correct
Státní moc lze upltňovt jen;v případech stanovených ústavním zákonem nebo mezinárodní smlouvou;v případech, v mezích a způsoby, které stanoví zákon;v případech stanovených zákonem nebo prováděcím předpisem; B
Ministerstva lze charakterizovat jako:;správní orgány s územní působností;ústřední správní orgány s všeobecnou působností;ústřední správní orgány s dílčí věcnou působností; C
Samosprávu rozdělujeme na samosprávu:;dílčí a obecnou;územní a zájmovou;územní a ústřední; B
V České republice se uplatňuje model veřejné správy, který nazýváme:;angloamerický systém;francouzský systém;smíšený systém; C
Vrcholným orgánem výkonné moci v České republice je:;prezident ČR;parlament ČR;vláda ČR; C
Právo na právní pomoc v řízení před soudy, jinými státními orgány či orgány veřejné správy podle Listiny základních práv a svobod:;má každý, za podmínky, že se na něj nevztahuje právo odepřít výpověď;náleží pouze státnímu občanu České republiky a osobě bez státní příslušnosti s trvalým pobytem na území České republiky;má každý; C
Listina základních práv a svobod upravuje v čl. 3 rozhodování o národnosti. Při tom stanoví, že:;každý rodič má právo svobodně rozhodovat o národnosti svého dítěte.;každý má právo svobodně rozhodovat o své národnosti.;občan má právo svobodně rozhodovat o své národnosti; B
Která z těchto územních jednotek není podle zákona o územně správním členění státu vytvořena?;okres Brno-město;okres Praha-město;okres Plzeň-město; B
Území vojenského újezdu je vymezeno:;pomocí katastrálních území;pomocí obcí;pomocí částí obcí; A
Ve výkonu petičního práva:;může být přiměřenými omezeními bráněno osobám, které nemají občanství Evropské unie;nesmí být nikomu bráněno;může být přiměřenými omezeními bráněno osobám, které nemají občanství České republiky; B
V širším pojetí členíme veřejnou správu následně:;moc zákonodárná, výkonná a soudní;státní správa, územní samospráva, zájmová samospráva;část mocenská, ochranná a organizační; B
Nařízení vlády a vyhlášky smí být vydány;k doplnění zákona, uloží-li to ministerstvům soud;k provedení zákona a v jeho mezích, přičemž smí upravovat jakékoliv záležitosti;k provedení zákona a v jeho mezích, přičemž nesmí upravovat věci vyhrazené zákonu; C
Vyberte nepravdivé tvrzení:;Nejvyšší kontrolní úřad podléhá kontrole České národní banky.;Veřejný ochránce práv nemá k dispozici žádné sankční ani přímé donucovací prostředky.;Úřad pro ochranu osobních údajů je nezávislý na výkonné moci.; A
Vyberte pravdivé tvrzení:;Ústava ČR může být doplňována či měněna zákony a podzákonnými právními předpisy;součástí ústavního pořádku ČR je Listina základních práv a svobod.;ve výjimečných případech stanovených zákonem může být jedna osoba současně členem obou komor Parlamentu.; B
Návrh na zrušení jiného právního předpisu nebo jeho jednotlivých ustanovení není oprávněn podat:;Prezident republiky;Veřejný ochránce práv;Senát Ústavního soudu v souvislosti s rozhodováním o ústavní stížnosti; A
Pokud zvláštní zákon upravuje působnost hlavního města Prahy a nestanoví, zda jde o samostatnou či přenesenou působnost,;jde vždy o činnosti patřící do samostatné působnosti hlavního města Prahy;jde podle povahy dané věci o samostatnou nebo o přenesenou působnost hlavního města Prahy;jde vždy o činnosti patřící do přenesené působnosti hlavního města Prahy; A
Stanoví-li zákon, že určitá věc náleží do působnosti kraje,;jedná se o výkon samostatné působnosti, rozhodne-li tak krajský úřad;jedná se vždy o výkon přenesené působnosti, i když to zákon výslovně nestanoví;jedná se o výkon samostatné působnosti, pokud zákon nestanoví, že jde o výkon přenesené působnosti; C
Pokud orgány krajů vykonávají státní správu, jedná se o jejich;samostatnou působnost;smíšenou působnost;přenesenou působnost; C
Rozsah výkonu přenesené působnosti orgánů krajů stanoví;zákon o krajích a zvláštní zákony;zákon o obcích;zákon o správním řízení; A
Rozhodnutí orgánů hlavního města Prahy vydaná ve správním řízení přezkoumává;Úřad vlády České republiky;příslušné ministerstvo nebo jiný ústřední správní úřad, do jehož působnosti náleží daná oblast přenesené působnosti hlavního města Prahy;Ministerstvo vnitra; B
Při výkonu přenesené působnosti je hlavní město Praha;podřízeno vládě;podřízeno Ministerstvu vnitra;podřízeno příslušnému ministerstvu; C
Tajemník úřadu městské části hlavního města Prahy je za plnění uložených úkolů odpovědný;v oblasti samostatné působnosti starostovi a v oblasti přenesené působnosti řediteli Magistrátu hlavního města Prahy;v oblasti přenesené působnosti starostovi a v oblasti samostatné působnosti radě městské části a starostovi;starostovi městské části hlavního města Prahy; C
Úřad městské části hlavního města Prahy tvoří;tajemník úřadu městské části a další zaměstnanci městské části zařazení do úřadu městské části;starosta, zástupce (zástupci) starosty, tajemník úřadu městské části, je-li tato funkce zřízena, a zaměstnanci městské části zařazení do úřadu městské části;starosta a další členové rady městské části, tajemník úřadu městské části a další zaměstnanci městské části zařazení do úřadu městské části; B
Zastupitelstvo městské části hlavního města Prahy zřizuje vždy;výbor kontrolní a výbor finanční;výbor kontrolní, výbor finanční a výbor pro národnostní menšiny;výbor kontrolní, výbor finanční a výbor pro výchovu a vzdělávání; A
Starosta městské části hlavního města Prahy pozastaví výkon usnesení rady městské části hlavního města Prahy;má-li za to, že je nesprávné;má-li za to, že je v rozporu s právním předpisem nebo usnesením zastupitelstva městské části;má-li za to, že je v rozporu se zákonem nebo jiným právním předpisem; A
Starosta městské části hlavního města Prahy;jmenuje a odvolává tajemníka úřadu městské části po předchozím souhlasu rady městské části nebo zastupitelstva městské části tam, kde se rada městské části nevolí;jmenuje a odvolává tajemníka úřadu městské části po předchozím souhlasu ředitele Magistrátu hlavního města Prahy;jmenuje a odvolává tajemníka úřadu městské části po předchozím souhlasu primátora hlavního města Prahy; B
K platnému usnesení rady městské části hlavního města Prahy je třeba;souhlasu nejméně jedné třetiny všech jejích členů;souhlasu nadpoloviční většiny přítomných, je-li přítomna více než polovina všech jejích členů;souhlasu nadpoloviční většiny všech jejích členů; C
Ředitel Magistrátu hlavního města Prahy;hlasuje na zasedání zastupitelstva hlavního města Prahy, pokud je o účast na zasedání požádán;není oprávněn se zúčastnit zasedání zastupitelstva hlavního města Prahy;zúčastňuje se zasedání zastupitelstva a rady hlavního města Prahy s hlasem poradním; C
V čele Magistrátu hlavního města Prahy je;primátor hlavního města Prahy;primátor hlavního města Prahy nebo jiný člen zastupitelstva hlavního města Prahy určený zastupitelstvem;ředitel Magistrátu; C
Ředitel Magistrátu hlavního města Prahy nesmí;vyvíjet činnost ve prospěch politických stran nebo politických hnutí;být členem politické strany ani politického hnutí;vykonávat funkce v politických stranách a politických hnutích; C
Kontrolní výbor zastupitelstva hlavního města Prahy;provádí kontrolu hospodaření s majetkem a finančními prostředky hlavního města Prahy;kontroluje plnění usnesení zastupitelstva a rady hlavního města Prahy;provádí kontrolu hospodaření městských částí v rozsahu a za podmínek stanovených Statutem hlavního města Prahy; B
Magistrát hlavního města Prahy tvoří;primátor hlavního města Prahy, ředitel Magistrátu a další zaměstnanci hlavního města Prahy zařazení do tohoto orgánu;primátor hlavního města Prahy, náměstci primátora hlavního města Prahy, ředitel Magistrátu a další zaměstnanci hlavního města Prahy zařazení do tohoto orgánu;ředitel Magistrátu a další zaměstnanci hlavního města Prahy zařazení do tohoto orgánu; C
Zastupitelstvo hlavního města Prahy je povinno zřídit vždy;výbor finanční, výbor kontrolní a výbor pro výchovu a vzdělávání;výbor finanční, výbor kontrolní, výbor pro výchovu a vzdělávání a výbor pro národnostní menšiny;výbor finanční a výbor kontrolní; A
Primátor hlavního města Prahy jmenuje a odvolává ředitele Magistrátu hlavního města Prahy;po předchozím souhlasu ministra vnitra;na návrh ministra vnitra;po předchozím souhlasu rady hlavního města Prahy; A
Primátor hlavního města Prahy je z výkonu své funkce odpovědný;zastupitelstvu hlavního města Prahy a radě hlavního města Prahy v oblastech působnosti jim svěřených;radě hlavního města Prahy;zastupitelstvu hlavního města Prahy; C
Právní jednání, která vyžadují schválení zastupitelstva hlavního města Prahy nebo rady hlavního města Prahy, provedená primátorem hlavního města Prahy bez tohoto schválení jsou;neplatná v případě, že ten, komu zákon toto právo přiznává, podá soudu návrh, aby určil jejich neplatnost;platná;neplatná; C
